Team 1,Team 2,Winner,Margin (Runs),Margin Wickets,Ground,Match Date,Scorecard
West Indies,Pakistan,Pakistan,101,0,Roseau,"May 10-14, 2017",Test # 2261
Pakistan,Sri Lanka,Sri Lanka,21,0,Abu Dhabi,"Sep 28-Oct 2, 2017",Test # 2275
Pakistan,Sri Lanka,Sri Lanka,68,0,Dubai (DSC),"Oct 6-10, 2017",Test # 2278
Ireland,Pakistan,Pakistan,0,5,Dublin (Malahide),"May 11-15, 2018",Test # 2303
England,Pakistan,Pakistan,0,9,Lord's,"May 24-27, 2018",Test # 2304
England,Pakistan,England,55,0,Leeds,"Jun 1-3, 2018",Test # 2305
Australia,Pakistan,drawn,0,0,Dubai (DSC),"Oct 7-11, 2018",Test # 2320
Australia,Pakistan,Pakistan,373,0,Abu Dhabi,"Oct 16-19, 2018",Test # 2322
New Zealand,Pakistan,New Zealand,4,0,Abu Dhabi,"Nov 16-19, 2018",Test # 2327
New Zealand,Pakistan,Pakistan,16,0,Dubai (DSC),"Nov 24-27, 2018",Test # 2330
New Zealand,Pakistan,New Zealand,123,0,Abu Dhabi,"Dec 3-7, 2018",Test # 2332
South Africa,Pakistan,South Africa,0,6,Centurion,"Dec 26-28, 2018",Test # 2338
South Africa,Pakistan,South Africa,0,9,Cape Town,"Jan 3-6, 2019",Test # 2340
South Africa,Pakistan,South Africa,107,0,Johannesburg,"Jan 11-14, 2019",Test # 2341
Australia,Pakistan,Australia,5,0,Brisbane,"Nov 21-24, 2019",Test # 2368
Australia,Pakistan,Australia,48,0,Adelaide,"Nov 29-Dec 2, 2019",Test # 2372
Pakistan,Sri Lanka,drawn,0,0,Rawalpindi,"Dec 11-15, 2019",Test # 2373
Pakistan,Sri Lanka,Pakistan,263,0,Karachi,"Dec 19-23, 2019",Test # 2375
Pakistan,Bangladesh,Pakistan,44,0,Rawalpindi,"Feb 7-10, 2020",Test # 2384
England,Pakistan,England,0,3,Manchester,"Aug 5-8, 2020",Test # 2391
England,Pakistan,drawn,0,0,Southampton,"Aug 13-17, 2020",Test # 2392
England,Pakistan,drawn,0,0,Southampton,"Aug 21-25, 2020",Test # 2393
